tick,198,197,195,59,194,191,189,184,183,32,10,182,88,176,71,156,175,20,177,174,185,180,179,166,171,170,19,188,168,187,164,161,105,158,157,154,151,149,47,148,146,144,199,3,143,193,97,142,169,133,141,102,140,186,76,139,137,136,192,178,131,130,129,127,38,125,122,123,121,72,172,153,119,117,39,112,111,110,109,4,108,132,107,103,100,120,96,147,77,95,93,92,115,58,70,90,190,2,24,87,15,163,86,29,85,44,83,84,155,30,5,91,167,134,82,0,81,55,99,79,46,101,75,150,159,74,106,6,56,80,57,78,14,52,69,98,68,67,48,128,73,145,66,165,89,21,11,61,113,60,65,34,54,160,64,9,51,49,26,45,40,162,63,62,25,43,135,41,37,17,13,35,36,118,22,138,33,31,50,152,18,196,16,42,124,28,53,23,173,12,104,116,94,1,114,27,126,7,181,8
180,0.08,0.11,0.1,0.08,0.11,0.13,0.08,0.11,0.06,0.07,0.07,0.03,0.09,0.05,0.12,0.07,0.08,0.02,0.09,0.09,0.1,0.05,0.08,0.1,0.08,0.1,0.08,0.12,0.05,0.12,0.07,0.12,0.08,0.09,0.08,0.06,0.05,0.14,0.09,0.13,0.05,0.09,0.11,0.16,0.05,0.12,0.15,0.05,0.07,0.06,0.1,0.11,0.12,0.1,0.09,0.12,0.12,0.05,0.15,0.12,0.14,0.08,0.08,0.09,0.08,0.07,0.11,0.12,0.08,0.12,0.09,0.15,0.09,0.08,0.09,0.08,0.07,0.09,0.13,0.08,0.07,0.08,0.13,0.11,0.1,0.09,0.08,0.11,0.1,0.09,0.09,0.13,0.09,0.13,0.1,0.1,0.13,0.07,0.09,0.1,0.07,0.09,0.07,0.09,0.09,0.1,0.12,0.07,0.13,0.05,0.13,0.12,0.02,0.09,0.16,0.06,0.15,0.09,0.06,0.07,0.11,0.07,0.13,0.1,0.11,0.08,0.24,0.07,0.1,0.03,0.11,0.15,0.07,0.13,0.07,0.09,0.08,0.11,0.12,0.07,0.11,0.1,0.11,0.14,0.09,0.09,0.1,0.09,0.06,0.07,0.09,0.12,0.13,0.08,0.03,0.06,0.1,0.1,0.11,0.07,0.18,0.14,0.09,0.1,0.11,0.04,0.04,0.11,0.12,0.1,0.08,0.07,0.09,0.09,0.04,0.12,0.09,0.12,0.08,0.07,0.09,0.1,0.04,0.05,0.06,0.1,0.13,0.08,0.12,0.1,0.09,0.1,0.1,0.14,0.18,0.05,0.1,0.11,0.07,0.06
200,0.07,0.11,0.11,0.13,0.08,0.09,0.08,0.14,0.07,0.07,0.11,0.09,0.11,0.07,0.1,0.09,0.14,0.12,0.06,0.12,0.09,0.08,0.07,0.11,0.09,0.07,0.12,0.08,0.16,0.06,0.14,0.06,0.08,0.08,0.11,0.11,0.07,0.12,0.06,0.06,0.12,0.11,0.08,0.13,0.1,0.09,0.08,0.13,0.08,0.09,0.15,0.11,0.08,0.08,0.06,0.12,0.13,0.12,0.04,0.12,0.1,0.03,0.08,0.18,0.09,0.1,0.07,0.1,0.12,0.06,0.05,0.09,0.06,0.09,0.07,0.03,0.09,0.11,0.12,0.08,0.09,0.06,0.05,0.08,0.14,0.14,0.14,0.15,0.08,0.07,0.08,0.07,0.11,0.07,0.07,0.07,0.06,0.11,0.13,0.03,0.11,0.06,0.05,0.11,0.13,0.1,0.09,0.09,0.07,0.08,0.11,0.07,0.1,0.08,0.11,0.14,0.1,0.14,0.12,0.08,0.05,0.1,0.19,0.06,0.09,0.08,0.11,0.04,0.12,0.13,0.08,0.07,0.12,0.13,0.11,0.12,0.11,0.1,0.1,0.15,0.09,0.12,0.09,0.1,0.08,0.13,0.15,0.13,0.05,0.07,0.1,0.04,0.13,0.05,0.02,0.08,0.1,0.07,0.15,0.05,0.11,0.12,0.1,0.1,0.12,0.1,0.11,0.03,0.14,0.02,0.1,0.06,0.1,0.1,0.07,0.07,0.09,0.13,0.11,0.1,0.08,0.08,0.08,0.08,0.12,0.08,0.12,0.14,0.1,0.08,0.11,0.11,0.12,0.09,0.07,0.07,0.1,0.12,0.09,0.09
220,0.06,0.07,0.1,0.1,0.07,0.11,0.11,0.12,0.07,0.11,0.06,0.07,0.09,0.1,0.08,0.11,0.11,0.09,0.1,0.15,0.16,0.04,0.08,0.11,0.11,0.1,0.09,0.09,0.11,0.1,0.12,0.11,0.09,0.09,0.05,0.1,0.08,0.14,0.13,0.17,0.11,0.09,0.06,0.08,0.09,0.1,0.11,0.11,0.08,0.14,0.14,0.11,0.1,0.1,0.09,0.1,0.08,0.09,0.1,0.06,0.08,0.1,0.04,0.14,0.08,0.09,0.1,0.05,0.09,0.09,0.11,0.11,0.11,0.1,0.15,0.1,0.11,0.12,0.09,0.07,0.11,0.07,0.03,0.08,0.09,0.07,0.13,0.08,0.09,0.12,0.16,0.09,0.09,0.09,0.12,0.09,0.09,0.08,0.1,0.11,0.14,0.15,0.09,0.15,0.04,0.18,0.09,0.08,0.08,0.07,0.09,0.06,0.09,0.11,0.1,0.14,0.08,0.12,0.13,0.09,0.11,0.1,0.08,0.13,0.1,0.14,0.12,0.16,0.16,0.09,0.06,0.11,0.08,0.08,0.08,0.11,0.02,0.14,0.11,0.09,0.12,0.16,0.11,0.07,0.07,0.09,0.06,0.09,0.08,0.1,0.05,0.14,0.06,0.1,0.09,0.09,0.06,0.14,0.04,0.14,0.09,0.08,0.09,0.09,0.11,0.06,0.09,0.12,0.09,0.07,0.05,0.12,0.12,0.11,0.07,0.1,0.09,0.07,0.14,0.09,0.08,0.13,0.15,0.08,0.12,0.07,0.05,0.07,0.09,0.08,0.11,0.08,0.1,0.08,0.13,0.03,0.09,0.06,0.13,0.14
240,0.14,0.15,0.09,0.11,0.11,0.21,0.11,0.1,0.11,0.12,0.11,0.09,0.1,0.07,0.1,0.09,0.09,0.06,0.1,0.09,0.13,0.09,0.07,0.11,0.07,0.1,0.15,0.07,0.06,0.14,0.11,0.1,0.09,0.09,0.08,0.1,0.06,0.09,0.1,0.11,0.1,0.06,0.07,0.13,0.17,0.15,0.08,0.1,0.11,0.1,0.11,0.08,0.08,0.03,0.04,0.08,0.1,0.07,0.04,0.07,0.16,0.1,0.12,0.13,0.12,0.06,0.11,0.05,0.1,0.09,0.1,0.11,0.08,0.1,0.06,0.14,0.11,0.11,0.06,0.11,0.07,0.1,0.16,0.11,0.16,0.08,0.08,0.12,0.1,0.06,0.15,0.14,0.17,0.08,0.07,0.07,0.11,0.12,0.09,0.12,0.12,0.12,0.13,0.15,0.12,0.07,0.12,0.13,0.05,0.09,0.05,0.09,0.12,0.09,0.04,0.03,0.13,0.14,0.1,0.08,0.14,0.1,0.11,0.1,0.17,0.07,0.16,0.09,0.09,0.13,0.11,0.12,0.13,0.08,0.09,0.14,0.06,0.11,0.08,0.1,0.12,0.09,0.05,0.1,0.12,0.1,0.08,0.09,0.08,0.11,0.09,0.12,0.09,0.07,0.1,0.12,0.09,0.09,0.01,0.05,0.09,0.11,0.06,0.09,0.07,0.11,0.05,0.09,0.13,0.1,0.13,0.1,0.1,0.11,0.12,0.15,0.07,0.13,0.08,0.09,0.07,0.08,0.16,0.06,0.16,0.1,0.06,0.13,0.09,0.11,0.07,0.03,0.09,0.14,0.11,0.11,0.13,0.07,0.11,0.07
260,0.16,0.07,0.07,0.08,0.11,0.07,0.13,0.11,0.1,0.06,0.11,0.11,0.08,0.15,0.1,0.15,0.06,0.1,0.14,0.1,0.08,0.15,0.09,0.09,0.1,0.07,0.11,0.12,0.09,0.14,0.08,0.07,0.11,0.07,0.12,0.08,0.05,0.08,0.1,0.15,0.13,0.11,0.12,0.09,0.08,0.13,0.11,0.11,0.1,0.13,0.13,0.08,0.14,0.11,0.06,0.08,0.19,0.13,0.13,0.11,0.11,0.08,0.14,0.08,0.12,0.08,0.06,0.12,0.08,0.13,0.04,0.11,0.08,0.04,0.09,0.1,0.08,0.05,0.09,0.11,0.1,0.09,0.1,0.05,0.1,0.11,0.14,0.06,0.08,0.15,0.07,0.06,0.11,0.06,0.08,0.08,0.07,0.13,0.06,0.11,0.08,0.19,0.08,0.08,0.07,0.06,0.06,0.11,0.07,0.12,0.12,0.12,0.09,0.05,0.06,0.1,0.08,0.11,0.1,0.05,0.12,0.07,0.13,0.1,0.13,0.13,0.12,0.06,0.09,0.12,0.09,0.1,0.06,0.05,0.07,0.1,0.05,0.03,0.09,0.09,0.14,0.1,0.12,0.14,0.14,0.11,0.04,0.06,0.1,0.13,0.15,0.15,0.11,0.1,0.2,0.14,0.1,0.16,0.04,0.1,0.1,0.06,0.13,0.11,0.05,0.09,0.09,0.08,0.12,0.09,0.09,0.11,0.06,0.04,0.1,0.11,0.13,0.11,0.08,0.12,0.11,0.13,0.12,0.12,0.09,0.1,0.1,0.12,0.08,0.09,0.09,0.13,0.05,0.06,0.09,0.08,0.1,0.08,0.08,0.07
280,0.1,0.11,0.09,0.11,0.12,0.13,0.04,0.08,0.07,0.09,0.09,0.09,0.08,0.12,0.17,0.09,0.14,0.13,0.12,0.18,0.06,0.09,0.11,0.06,0.06,0.09,0.08,0.12,0.1,0.1,0.08,0.08,0.13,0.08,0.16,0.07,0.1,0.12,0.09,0.09,0.11,0.1,0.07,0.11,0.1,0.11,0.12,0.11,0.09,0.12,0.07,0.13,0.07,0.08,0.12,0.1,0.14,0.1,0.06,0.16,0.11,0.15,0.08,0.14,0.07,0.11,0.07,0.13,0.11,0.14,0.11,0.09,0.13,0.17,0.05,0.1,0.07,0.1,0.09,0.08,0.07,0.09,0.08,0.08,0.12,0.15,0.13,0.11,0.09,0.16,0.09,0.07,0.06,0.1,0.06,0.13,0.08,0.12,0.1,0.13,0.1,0.1,0.09,0.11,0.07,0.1,0.09,0.1,0.07,0.08,0.07,0.13,0.09,0.09,0.1,0.08,0.09,0.08,0.1,0.13,0.06,0.12,0.07,0.07,0.1,0.07,0.1,0.1,0.05,0.11,0.09,0.1,0.07,0.09,0.09,0.05,0.13,0.04,0.1,0.11,0.06,0.12,0.1,0.11,0.11,0.11,0.1,0.06,0.09,0.13,0.09,0.09,0.05,0.07,0.05,0.12,0.1,0.14,0.15,0.1,0.1,0.12,0.07,0.11,0.1,0.15,0.08,0.11,0.07,0.05,0.1,0.1,0.13,0.11,0.1,0.07,0.05,0.06,0.11,0.11,0.06,0.03,0.12,0.04,0.1,0.09,0.06,0.14,0.07,0.1,0.07,0.07,0.05,0.08,0.14,0.08,0.11,0.08,0.11,0.06
300,0.12,0.14,0.1,0.12,0.12,0.07,0.05,0.12,0.09,0.09,0.14,0.04,0.11,0.08,0.09,0.1,0.13,0.1,0.13,0.17,0.1,0.13,0.09,0.11,0.06,0.09,0.09,0.08,0.1,0.12,0.11,0.08,0.14,0.13,0.08,0.12,0.12,0.07,0.12,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.12,0.15,0.09,0.04,0.05,0.09,0.15,0.16,0.09,0.13,0.09,0.13,0.09,0.11,0.06,0.09,0.08,0.18,0.09,0.07,0.09,0.06,0.11,0.15,0.07,0.1,0.12,0.09,0.08,0.09,0.12,0.1,0.1,0.09,0.07,0.04,0.07,0.06,0.06,0.12,0.12,0.08,0.09,0.12,0.07,0.14,0.09,0.12,0.08,0.07,0.1,0.08,0.11,0.04,0.09,0.07,0.12,0.06,0.05,0.09,0.18,0.07,0.06,0.14,0.03,0.06,0.03,0.04,0.04,0.07,0.08,0.1,0.07,0.08,0.2,0.07,0.1,0.07,0.1,0.04,0.12,0.03,0.07,0.09,0.17,0.16,0.1,0.04,0.07,0.09,0.03,0.11,0.12,0.09,0.12,0.13,0.1,0.15,0.1,0.07,0.07,0.15,0.11,0.13,0.11,0.08,0.03,0.12,0.09,0.1,0.06,0.13,0.05,0.14,0.06,0.09,0.05,0.08,0.09,0.12,0.07,0.11,0.07,0.07,0.13,0.12,0.06,0.1,0.13,0.09,0.05,0.07,0.09,0.07,0.07,0.16,0.09,0.06,0.1,0.11,0.12,0.05,0.08,0.07,0.1,0.06,0.09,0.11,0.11,0.11,0.07,0.14,0.13,0.15
320,0.08,0.09,0.09,0.11,0.15,0.1,0.17,0.05,0.08,0.05,0.08,0.06,0.04,0.04,0.08,0.18,0.11,0.09,0.07,0.1,0.1,0.1,0.07,0.06,0.08,0.08,0.08,0.06,0.11,0.04,0.07,0.09,0.12,0.17,0.11,0.11,0.08,0.12,0.14,0.1,0.08,0.11,0.09,0.12,0.07,0.13,0.08,0.06,0.07,0.11,0.14,0.11,0.07,0.11,0.11,0.07,0.07,0.09,0.12,0.06,0.08,0.08,0.11,0.07,0.1,0.06,0.11,0.07,0.11,0.16,0.12,0.1,0.1,0.07,0.05,0.15,0.1,0.13,0.11,0.04,0.1,0.05,0.13,0.08,0.07,0.1,0.11,0.06,0.15,0.12,0.06,0.07,0.14,0.08,0.06,0.14,0.18,0.04,0.09,0.1,0.06,0.12,0.08,0.09,0.13,0.09,0.08,0.07,0.12,0.15,0.1,0.1,0.08,0.11,0.08,0.11,0.12,0.09,0.1,0.08,0.07,0.09,0.11,0.11,0.05,0.11,0.08,0.11,0.12,0.09,0.1,0.15,0.06,0.11,0.07,0.11,0.17,0.09,0.12,0.07,0.15,0.07,0.08,0.06,0.06,0.11,0.09,0.07,0.16,0.12,0.09,0.11,0.1,0.12,0.06,0.09,0.07,0.11,0.04,0.11,0.04,0.1,0.08,0.11,0.1,0.13,0.08,0.15,0.07,0.14,0.09,0.08,0.1,0.1,0.11,0.07,0.09,0.09,0.09,0.12,0.15,0.15,0.06,0.07,0.09,0.07,0.08,0.07,0.15,0.06,0.11,0.09,0.1,0.1,0.04,0.09,0.1,0.07,0.1,0.1
340,0.11,0.09,0.05,0.07,0.12,0.13,0.12,0.09,0.09,0.07,0.07,0.06,0.05,0.07,0.12,0.08,0.08,0.12,0.11,0.12,0.16,0.12,0.11,0.1,0.14,0.09,0.08,0.07,0.08,0.13,0.07,0.15,0.11,0.18,0.11,0.07,0.08,0.12,0.1,0.11,0.06,0.1,0.06,0.13,0.09,0.11,0.09,0.08,0.13,0.07,0.13,0.12,0.08,0.1,0.13,0.16,0.09,0.11,0.1,0.06,0.07,0.07,0.11,0.09,0.13,0.09,0.1,0.13,0.09,0.14,0.1,0.07,0.12,0.09,0.08,0.09,0.11,0.11,0.09,0.07,0.06,0.05,0.08,0.09,0.1,0.12,0.08,0.1,0.14,0.07,0.09,0.12,0.1,0.06,0.12,0.09,0.07,0.09,0.15,0.11,0.11,0.11,0.16,0.1,0.13,0.11,0.11,0.13,0.15,0.05,0.09,0.1,0.09,0.1,0.03,0.07,0.05,0.11,0.09,0.07,0.11,0.12,0.12,0.09,0.05,0.09,0.07,0.02,0.11,0.08,0.09,0.12,0.15,0.09,0.11,0.06,0.08,0.11,0.09,0.05,0.13,0.12,0.14,0.1,0.08,0.11,0.11,0.1,0.1,0.09,0.16,0.12,0.14,0.11,0.04,0.11,0.15,0.07,0.07,0.13,0.05,0.14,0.12,0.12,0.07,0.11,0.11,0.08,0.17,0.09,0.1,0.1,0.11,0.1,0.19,0.09,0.08,0.07,0.11,0.15,0.14,0.09,0.08,0.08,0.16,0.07,0.07,0.05,0.11,0.09,0.14,0.13,0.08,0.17,0.1,0.12,0.03,0.08,0.12,0.1
360,0.07,0.07,0.09,0.12,0.09,0.06,0.05,0.07,0.09,0.11,0.08,0.08,0.13,0.09,0.16,0.11,0.07,0.06,0.03,0.1,0.13,0.13,0.14,0.12,0.07,0.06,0.06,0.05,0.08,0.11,0.11,0.06,0.11,0.12,0.09,0.08,0.11,0.07,0.08,0.09,0.06,0.09,0.1,0.06,0.13,0.12,0.12,0.09,0.11,0.15,0.07,0.11,0.07,0.12,0.09,0.09,0.05,0.08,0.1,0.08,0.15,0.08,0.07,0.05,0.13,0.09,0.13,0.09,0.14,0.09,0.09,0.08,0.11,0.11,0.11,0.08,0.14,0.1,0.06,0.14,0.07,0.11,0.14,0.11,0.1,0.09,0.14,0.07,0.11,0.08,0.09,0.09,0.05,0.12,0.09,0.14,0.11,0.11,0.08,0.08,0.12,0.08,0.13,0.15,0.12,0.1,0.1,0.13,0.1,0.09,0.09,0.04,0.12,0.07,0.1,0.11,0.11,0.12,0.12,0.1,0.07,0.07,0.07,0.17,0.17,0.08,0.09,0.08,0.08,0.05,0.11,0.15,0.08,0.12,0.11,0.07,0.14,0.13,0.06,0.11,0.18,0.09,0.09,0.1,0.1,0.05,0.15,0.09,0.05,0.08,0.09,0.07,0.14,0.16,0.11,0.09,0.08,0.1,0.09,0.07,0.11,0.09,0.1,0.08,0.06,0.14,0.1,0.11,0.12,0.12,0.06,0.1,0.08,0.1,0.08,0.07,0.14,0.1,0.06,0.09,0.13,0.06,0.05,0.12,0.09,0.13,0.09,0.08,0.09,0.1,0.07,0.04,0.12,0.1,0.06,0.13,0.12,0.09,0.07,0.11
380,0.1,0.13,0.08,0.15,0.15,0.08,0.08,0.07,0.11,0.09,0.08,0.1,0.1,0.09,0.11,0.14,0.08,0.08,0.1,0.07,0.05,0.11,0.12,0.09,0.03,0.11,0.14,0.1,0.14,0.06,0.05,0.06,0.08,0.08,0.19,0.11,0.07,0.07,0.12,0.09,0.11,0.09,0.08,0.1,0.08,0.09,0.12,0.13,0.04,0.09,0.07,0.09,0.13,0.05,0.08,0.1,0.1,0.09,0.11,0.13,0.12,0.11,0.11,0.11,0.06,0.13,0.09,0.1,0.14,0.13,0.15,0.13,0.07,0.1,0.07,0.14,0.05,0.09,0.09,0.08,0.06,0.12,0.1,0.13,0.09,0.17,0.08,0.09,0.11,0.04,0.08,0.1,0.04,0.15,0.1,0.08,0.09,0.05,0.04,0.12,0.07,0.12,0.07,0.07,0.1,0.1,0.07,0.09,0.1,0.05,0.09,0.07,0.09,0.07,0.09,0.11,0.08,0.08,0.14,0.17,0.12,0.04,0.04,0.13,0.14,0.13,0.08,0.12,0.12,0.15,0.1,0.14,0.07,0.05,0.09,0.04,0.13,0.09,0.11,0.09,0.1,0.12,0.06,0.11,0.16,0.16,0.06,0.06,0.16,0.11,0.15,0.11,0.07,0.08,0.05,0.07,0.07,0.07,0.12,0.1,0.14,0.06,0.1,0.13,0.09,0.13,0.12,0.11,0.14,0.08,0.13,0.08,0.09,0.11,0.07,0.12,0.07,0.12,0.1,0.15,0.06,0.09,0.13,0.07,0.09,0.1,0.11,0.1,0.07,0.08,0.1,0.05,0.07,0.09,0.1,0.07,0.11,0.09,0.07,0.13
400,0.12,0.13,0.09,0.06,0.07,0.09,0.1,0.09,0.09,0.12,0.1,0.13,0.08,0.09,0.15,0.07,0.11,0.07,0.09,0.07,0.15,0.1,0.09,0.08,0.1,0.1,0.1,0.09,0.07,0.1,0.06,0.1,0.03,0.11,0.09,0.06,0.13,0.12,0.06,0.09,0.14,0.11,0.08,0.09,0.13,0.12,0.08,0.05,0.1,0.1,0.09,0.07,0.08,0.15,0.07,0.1,0.13,0.08,0.08,0.08,0.13,0.11,0.14,0.12,0.09,0.18,0.13,0.07,0.15,0.07,0.07,0.08,0.11,0.06,0.05,0.13,0.14,0.12,0.11,0.11,0.14,0.11,0.08,0.05,0.07,0.15,0.09,0.07,0.06,0.11,0.2,0.11,0.04,0.13,0.05,0.14,0.11,0.08,0.09,0.11,0.11,0.08,0.09,0.11,0.09,0.16,0.11,0.07,0.1,0.06,0.09,0.07,0.12,0.13,0.11,0.07,0.12,0.07,0.1,0.07,0.1,0.05,0.08,0.12,0.1,0.07,0.03,0.06,0.15,0.02,0.13,0.08,0.09,0.08,0.07,0.09,0.09,0.15,0.09,0.12,0.06,0.08,0.09,0.06,0.1,0.08,0.17,0.07,0.07,0.11,0.13,0.07,0.09,0.12,0.09,0.08,0.07,0.11,0.11,0.1,0.05,0.09,0.07,0.09,0.12,0.07,0.08,0.11,0.04,0.15,0.07,0.09,0.11,0.06,0.12,0.11,0.06,0.06,0.12,0.08,0.11,0.11,0.07,0.07,0.04,0.07,0.14,0.13,0.09,0.09,0.08,0.08,0.07,0.15,0.06,0.16,0.11,0.08,0.03,0.09
420,0.06,0.08,0.11,0.15,0.11,0.15,0.13,0.05,0.12,0.16,0.09,0.08,0.11,0.11,0.1,0.16,0.17,0.11,0.06,0.04,0.07,0.04,0.09,0.14,0.1,0.07,0.09,0.09,0.12,0.11,0.07,0.07,0.15,0.11,0.13,0.12,0.08,0.16,0.1,0.15,0.1,0.15,0.13,0.1,0.07,0.09,0.11,0.11,0.06,0.14,0.17,0.07,0.04,0.13,0.09,0.08,0.08,0.1,0.07,0.06,0.09,0.1,0.1,0.12,0.03,0.12,0.09,0.1,0.1,0.11,0.12,0.15,0.08,0.08,0.08,0.14,0.12,0.04,0.07,0.1,0.13,0.08,0.08,0.09,0.11,0.08,0.04,0.11,0.1,0.08,0.03,0.09,0.16,0.08,0.1,0.08,0.07,0.09,0.13,0.03,0.11,0.05,0.06,0.11,0.09,0.11,0.04,0.1,0.11,0.06,0.1,0.07,0.11,0.09,0.12,0.12,0.09,0.1,0.07,0.14,0.1,0.04,0.11,0.09,0.06,0.09,0.05,0.13,0.12,0.14,0.13,0.12,0.15,0.13,0.1,0.13,0.08,0.07,0.05,0.08,0.09,0.06,0.06,0.07,0.06,0.14,0.12,0.12,0.07,0.1,0.16,0.05,0.06,0.09,0.08,0.09,0.09,0.06,0.04,0.12,0.08,0.08,0.08,0.11,0.09,0.17,0.09,0.09,0.14,0.12,0.14,0.1,0.15,0.11,0.07,0.06,0.16,0.07,0.12,0.06,0.09,0.09,0.08,0.1,0.12,0.08,0.05,0.05,0.13,0.08,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.03
440,0.06,0.13,0.11,0.09,0.06,0.09,0.09,0.08,0.1,0.08,0.08,0.11,0.05,0.08,0.08,0.13,0.05,0.12,0.11,0.13,0.09,0.08,0.14,0.11,0.12,0.1,0.17,0.11,0.1,0.09,0.08,0.06,0.14,0.06,0.12,0.11,0.08,0.1,0.13,0.09,0.04,0.09,0.11,0.1,0.07,0.1,0.07,0.1,0.09,0.06,0.09,0.11,0.08,0.04,0.1,0.08,0.11,0.06,0.08,0.11,0.1,0.08,0.16,0.12,0.12,0.09,0.02,0.1,0.1,0.1,0.13,0.11,0.08,0.09,0.07,0.16,0.11,0.1,0.06,0.15,0.08,0.13,0.1,0.12,0.12,0.11,0.13,0.09,0.06,0.07,0.14,0.07,0.08,0.05,0.09,0.08,0.08,0.07,0.09,0.09,0.1,0.06,0.04,0.11,0.12,0.14,0.1,0.13,0.17,0.09,0.11,0.06,0.11,0.21,0.07,0.12,0.07,0.12,0.15,0.07,0.04,0.13,0.15,0.11,0.07,0.14,0.11,0.07,0.09,0.07,0.1,0.11,0.09,0.1,0.08,0.1,0.14,0.13,0.1,0.14,0.11,0.13,0.11,0.1,0.08,0.12,0.12,0.1,0.09,0.11,0.13,0.12,0.12,0.11,0.07,0.04,0.07,0.13,0.09,0.08,0.08,0.1,0.16,0.11,0.06,0.09,0.11,0.07,0.08,0.11,0.1,0.08,0.08,0.08,0.08,0.12,0.06,0.05,0.08,0.08,0.08,0.17,0.14,0.06,0.09,0.18,0.05,0.09,0.11,0.11,0.12,0.13,0.13,0.13,0.07,0.07,0.12,0.05,0.1,0.04
460,0.17,0.13,0.1,0.09,0.09,0.07,0.1,0.08,0.13,0.12,0.1,0.12,0.12,0.1,0.07,0.09,0.08,0.1,0.07,0.12,0.06,0.14,0.13,0.09,0.09,0.1,0.08,0.09,0.05,0.06,0.14,0.13,0.1,0.07,0.11,0.12,0.09,0.17,0.02,0.16,0.14,0.09,0.08,0.11,0.1,0.17,0.13,0.13,0.11,0.09,0.12,0.11,0.14,0.17,0.1,0.09,0.13,0.09,0.09,0.1,0.1,0.11,0.09,0.09,0.09,0.12,0.09,0.13,0.05,0.07,0.07,0.09,0.19,0.12,0.14,0.11,0.17,0.1,0.09,0.1,0.12,0.06,0.05,0.12,0.12,0.1,0.08,0.08,0.08,0.06,0.12,0.17,0.08,0.1,0.07,0.14,0.11,0.06,0.03,0.09,0.07,0.12,0.15,0.11,0.14,0.11,0.09,0.16,0.07,0.14,0.07,0.16,0.09,0.13,0.12,0.08,0.09,0.17,0.06,0.08,0.08,0.1,0.13,0.12,0.11,0.14,0.11,0.11,0.13,0.06,0.09,0.07,0.15,0.09,0.09,0.09,0.08,0.09,0.15,0.15,0.07,0.1,0.14,0.1,0.05,0.07,0.05,0.11,0.09,0.1,0.11,0.13,0.16,0.07,0.13,0.06,0.13,0.07,0.1,0.11,0.1,0.08,0.07,0.11,0.09,0.03,0.07,0.12,0.12,0.06,0.07,0.09,0.07,0.05,0.14,0.12,0.09,0.06,0.07,0.11,0.11,0.1,0.12,0.06,0.12,0.07,0.09,0.07,0.07,0.08,0.07,0.04,0.09,0.08,0.11,0.07,0.07,0.12,0.12,0.08
480,0.1,0.08,0.08,0.09,0.1,0.1,0.08,0.17,0.07,0.14,0.08,0.08,0.09,0.04,0.09,0.11,0.11,0.05,0.14,0.13,0.11,0.11,0.14,0.16,0.05,0.09,0.09,0.14,0.09,0.13,0.12,0.11,0.15,0.07,0.12,0.07,0.15,0.13,0.09,0.1,0.13,0.14,0.09,0.07,0.07,0.06,0.1,0.13,0.09,0.09,0.11,0.1,0.12,0.08,0.06,0.08,0.18,0.1,0.06,0.11,0.12,0.13,0.1,0.12,0.1,0.07,0.08,0.06,0.17,0.08,0.11,0.11,0.1,0.09,0.09,0.08,0.07,0.06,0.1,0.08,0.08,0.11,0.09,0.15,0.06,0.06,0.08,0.09,0.19,0.15,0.07,0.13,0.1,0.13,0.08,0.12,0.16,0.14,0.06,0.06,0.1,0.05,0.08,0.1,0.1,0.06,0.12,0.08,0.1,0.15,0.1,0.09,0.11,0.12,0.09,0.13,0.09,0.13,0.11,0.07,0.15,0.13,0.09,0.08,0.09,0.14,0.14,0.09,0.07,0.05,0.09,0.06,0.15,0.09,0.09,0.08,0.02,0.07,0.11,0.13,0.13,0.1,0.06,0.13,0.09,0.1,0.08,0.11,0.12,0.13,0.09,0.05,0.08,0.07,0.09,0.12,0.1,0.13,0.13,0.05,0.1,0.05,0.13,0.09,0.09,0.07,0.1,0.04,0.09,0.1,0.13,0.05,0.1,0.13,0.08,0.1,0.16,0.19,0.13,0.06,0.13,0.13,0.06,0.11,0.11,0.09,0.04,0.13,0.12,0.05,0.09,0.11,0.11,0.1,0.07,0.13,0.09,0.06,0.11,0.09
