tick,98,97,94,93,92,91,89,88,87,83,82,80,78,77,75,73,72,71,68,70,66,64,63,60,25,2,24,23,86,20,21,26,14,34,15,74,13,65,7,32,16,84,58,30,5,4,95,81,69,19,28,41,17,0,40,35,8,85,22,76,1,36,9,18,90,11,39,12,27,10,44,99,29,79,56,45,57,31,62,3,55,6,33,61,38,53,42,49,96,47,43,37,46,48,67,59,50,51,52,54
180,0.18,0.21,0.15,0.2,0.14,0.12,0.15,0.22,0.24,0.17,0.2,0.08,0.18,0.08,0.14,0.14,0.12,0.13,0.14,0.1,0.17,0.11,0.16,0.11,0.11,0.12,0.04,0.04,0.1,0.12,0.12,0.07,0.09,0.1,0.05,0.16,0.07,0.17,0.06,0.14,0.15,0.14,0.13,0.15,0.11,0.2,0.25,0.18,0.09,0.1,0.07,0.15,0.1,0.1,0.07,0.11,0.23,0.13,0.14,0.1,0.12,0.13,0.13,0.14,0.22,0.08,0.17,0.16,0.11,0.14,0.12,0.21,0.11,0.14,0.12,0.16,0.08,0.11,0.11,0.22,0.09,0.17,0.07,0.13,0.05,0.15,0.09,0.12,0.13,0.1,0.14,0.09,0.12,0.16,0.07,0.09,0.16,0.05,0.08,0.05
200,0.16,0.11,0.19,0.18,0.2,0.11,0.18,0.2,0.16,0.25,0.19,0.09,0.14,0.11,0.19,0.05,0.1,0.08,0.09,0.11,0.14,0.11,0.17,0.09,0.11,0.24,0.04,0.12,0.08,0.13,0.13,0.11,0.13,0.09,0.08,0.07,0.08,0.1,0.05,0.11,0.12,0.19,0.11,0.11,0.13,0.18,0.17,0.1,0.09,0.04,0.19,0.17,0.15,0.09,0.11,0.11,0.18,0.13,0.1,0.1,0.1,0.16,0.14,0.1,0.2,0.08,0.1,0.05,0.12,0.18,0.12,0.15,0.12,0.12,0.08,0.16,0.14,0.06,0.13,0.13,0.09,0.19,0.08,0.1,0.11,0.1,0.1,0.17,0.15,0.1,0.11,0.12,0.1,0.14,0.09,0.08,0.09,0.1,0.14,0.09
220,0.19,0.14,0.13,0.19,0.16,0.22,0.13,0.15,0.15,0.19,0.2,0.1,0.21,0.07,0.13,0.08,0.12,0.07,0.16,0.14,0.14,0.14,0.11,0.11,0.16,0.18,0.1,0.09,0.14,0.15,0.15,0.07,0.08,0.03,0.12,0.11,0.09,0.2,0.04,0.11,0.15,0.22,0.14,0.15,0.09,0.07,0.2,0.11,0.1,0.11,0.12,0.14,0.09,0.13,0.13,0.1,0.33,0.12,0.17,0.08,0.08,0.12,0.07,0.12,0.13,0.09,0.1,0.12,0.08,0.13,0.08,0.13,0.1,0.1,0.11,0.15,0.14,0.1,0.12,0.19,0.06,0.14,0.08,0.22,0.08,0.07,0.12,0.11,0.16,0.13,0.14,0.1,0.06,0.11,0.03,0.1,0.1,0.09,0.07,0.08
240,0.17,0.19,0.17,0.16,0.14,0.15,0.14,0.18,0.21,0.16,0.21,0.15,0.21,0.09,0.2,0.06,0.04,0.04,0.09,0.14,0.14,0.15,0.14,0.06,0.15,0.18,0.11,0.08,0.12,0.12,0.09,0.1,0.08,0.13,0.1,0.07,0.11,0.17,0.13,0.07,0.09,0.17,0.11,0.1,0.08,0.11,0.16,0.16,0.17,0.13,0.08,0.13,0.14,0.19,0.07,0.08,0.22,0.11,0.08,0.11,0.12,0.14,0.11,0.12,0.16,0.12,0.09,0.12,0.12,0.15,0.07,0.15,0.1,0.08,0.09,0.16,0.12,0.14,0.08,0.16,0.05,0.08,0.13,0.12,0.08,0.09,0.15,0.1,0.15,0.12,0.07,0.11,0.12,0.11,0.08,0.07,0.1,0.15,0.12,0.09
260,0.21,0.17,0.22,0.16,0.18,0.09,0.14,0.19,0.23,0.17,0.2,0.16,0.21,0.16,0.11,0.19,0.08,0.17,0.14,0.14,0.12,0.1,0.11,0.14,0.13,0.18,0.08,0.09,0.21,0.11,0.17,0.08,0.08,0.09,0.1,0.15,0.12,0.16,0.08,0.1,0.14,0.19,0.09,0.11,0.1,0.12,0.26,0.15,0.21,0.12,0.14,0.16,0.12,0.08,0.12,0.08,0.22,0.14,0.1,0.11,0.1,0.21,0.09,0.09,0.17,0.1,0.11,0.15,0.11,0.21,0.13,0.13,0.18,0.1,0.09,0.2,0.14,0.12,0.15,0.2,0.09,0.08,0.11,0.13,0.14,0.11,0.1,0.1,0.14,0.06,0.08,0.08,0.16,0.15,0.08,0.06,0.14,0.1,0.16,0.12
280,0.18,0.2,0.2,0.19,0.15,0.15,0.18,0.19,0.15,0.18,0.19,0.13,0.16,0.12,0.11,0.17,0.12,0.08,0.1,0.17,0.21,0.12,0.1,0.14,0.13,0.27,0.07,0.07,0.1,0.11,0.15,0.07,0.1,0.09,0.11,0.12,0.1,0.16,0.16,0.07,0.11,0.15,0.1,0.07,0.15,0.1,0.15,0.09,0.2,0.07,0.16,0.21,0.27,0.1,0.09,0.16,0.17,0.15,0.07,0.1,0.13,0.12,0.11,0.1,0.12,0.12,0.13,0.13,0.18,0.12,0.15,0.15,0.12,0.09,0.14,0.19,0.11,0.09,0.11,0.14,0.08,0.05,0.11,0.13,0.11,0.09,0.15,0.15,0.26,0.08,0.1,0.11,0.13,0.23,0.1,0.1,0.06,0.09,0.09,0.13
300,0.2,0.15,0.21,0.12,0.2,0.26,0.17,0.15,0.15,0.13,0.15,0.13,0.14,0.06,0.13,0.06,0.09,0.12,0.12,0.16,0.15,0.09,0.12,0.05,0.11,0.21,0.13,0.04,0.17,0.14,0.13,0.12,0.13,0.1,0.1,0.14,0.07,0.19,0.09,0.12,0.16,0.11,0.05,0.17,0.19,0.11,0.16,0.13,0.16,0.06,0.13,0.12,0.16,0.09,0.11,0.08,0.21,0.11,0.1,0.14,0.07,0.17,0.11,0.1,0.2,0.05,0.03,0.11,0.11,0.19,0.15,0.2,0.17,0.09,0.15,0.16,0.13,0.08,0.07,0.14,0.09,0.17,0.11,0.2,0.1,0.13,0.12,0.07,0.18,0.06,0.07,0.14,0.08,0.23,0.1,0.1,0.12,0.12,0.17,0.07
320,0.2,0.18,0.13,0.26,0.13,0.16,0.13,0.18,0.14,0.13,0.13,0.17,0.17,0.11,0.12,0.12,0.14,0.14,0.19,0.1,0.16,0.13,0.14,0.09,0.11,0.13,0.12,0.11,0.12,0.11,0.14,0.09,0.12,0.13,0.13,0.13,0.11,0.14,0.09,0.1,0.13,0.17,0.1,0.15,0.13,0.07,0.17,0.15,0.13,0.14,0.12,0.19,0.14,0.16,0.12,0.14,0.15,0.17,0.08,0.15,0.09,0.15,0.1,0.09,0.2,0.15,0.09,0.13,0.18,0.13,0.11,0.13,0.08,0.17,0.08,0.15,0.18,0.12,0.1,0.12,0.12,0.18,0.1,0.18,0.1,0.12,0.1,0.12,0.22,0.08,0.12,0.1,0.1,0.22,0.12,0.16,0.08,0.18,0.15,0.06
340,0.16,0.22,0.27,0.17,0.12,0.11,0.14,0.2,0.21,0.14,0.16,0.07,0.11,0.08,0.12,0.09,0.08,0.12,0.1,0.14,0.1,0.08,0.14,0.07,0.09,0.14,0.1,0.07,0.11,0.16,0.15,0.09,0.2,0.08,0.1,0.18,0.11,0.15,0.1,0.14,0.15,0.19,0.08,0.14,0.09,0.09,0.16,0.16,0.17,0.14,0.12,0.14,0.13,0.17,0.13,0.16,0.19,0.13,0.1,0.11,0.19,0.13,0.14,0.09,0.16,0.12,0.12,0.15,0.16,0.14,0.17,0.13,0.13,0.14,0.1,0.09,0.13,0.09,0.11,0.13,0.12,0.12,0.17,0.17,0.14,0.07,0.14,0.17,0.21,0.06,0.09,0.11,0.15,0.11,0.1,0.15,0.09,0.1,0.12,0.11
360,0.14,0.19,0.22,0.13,0.23,0.16,0.15,0.22,0.22,0.16,0.12,0.11,0.18,0.13,0.16,0.12,0.15,0.11,0.14,0.18,0.15,0.15,0.14,0.13,0.07,0.15,0.13,0.16,0.14,0.19,0.08,0.11,0.07,0.14,0.12,0.16,0.11,0.19,0.09,0.12,0.17,0.11,0.09,0.17,0.14,0.16,0.14,0.11,0.14,0.1,0.14,0.19,0.18,0.17,0.13,0.15,0.11,0.15,0.13,0.18,0.14,0.13,0.11,0.08,0.18,0.14,0.16,0.1,0.19,0.15,0.18,0.12,0.1,0.13,0.1,0.21,0.09,0.1,0.13,0.12,0.13,0.14,0.1,0.08,0.17,0.08,0.06,0.23,0.17,0.07,0.11,0.1,0.08,0.16,0.1,0.03,0.07,0.17,0.14,0.15
380,0.18,0.22,0.18,0.16,0.11,0.17,0.15,0.13,0.17,0.22,0.14,0.2,0.17,0.14,0.12,0.06,0.11,0.18,0.09,0.15,0.2,0.15,0.14,0.11,0.11,0.09,0.12,0.12,0.12,0.11,0.18,0.11,0.16,0.11,0.1,0.12,0.09,0.2,0.1,0.11,0.14,0.1,0.13,0.16,0.14,0.12,0.17,0.14,0.15,0.11,0.13,0.2,0.12,0.1,0.11,0.1,0.17,0.18,0.13,0.15,0.17,0.12,0.13,0.13,0.12,0.14,0.11,0.15,0.12,0.24,0.17,0.13,0.13,0.11,0.06,0.16,0.13,0.14,0.08,0.09,0.09,0.12,0.1,0.12,0.11,0.15,0.13,0.22,0.25,0.13,0.1,0.14,0.15,0.16,0.14,0.14,0.11,0.12,0.09,0.12
400,0.13,0.18,0.14,0.16,0.12,0.21,0.14,0.15,0.16,0.18,0.18,0.12,0.16,0.1,0.19,0.12,0.06,0.12,0.14,0.14,0.09,0.13,0.15,0.14,0.12,0.1,0.16,0.11,0.17,0.16,0.17,0.17,0.22,0.09,0.07,0.15,0.18,0.18,0.13,0.1,0.15,0.19,0.12,0.08,0.13,0.16,0.15,0.19,0.14,0.11,0.2,0.14,0.13,0.12,0.12,0.13,0.16,0.12,0.19,0.13,0.16,0.16,0.12,0.16,0.14,0.07,0.18,0.15,0.16,0.14,0.17,0.16,0.15,0.18,0.13,0.15,0.08,0.14,0.15,0.18,0.11,0.14,0.13,0.11,0.17,0.12,0.2,0.19,0.18,0.13,0.12,0.07,0.08,0.17,0.16,0.19,0.11,0.15,0.17,0.11
420,0.18,0.16,0.11,0.07,0.13,0.15,0.15,0.21,0.17,0.16,0.15,0.15,0.15,0.2,0.16,0.15,0.12,0.11,0.17,0.18,0.14,0.11,0.12,0.1,0.11,0.19,0.18,0.1,0.23,0.15,0.19,0.11,0.13,0.09,0.14,0.14,0.13,0.13,0.18,0.11,0.15,0.17,0.14,0.16,0.14,0.08,0.15,0.16,0.19,0.1,0.13,0.17,0.2,0.19,0.08,0.13,0.2,0.18,0.13,0.13,0.13,0.15,0.18,0.11,0.2,0.16,0.17,0.09,0.17,0.12,0.13,0.13,0.14,0.14,0.18,0.15,0.14,0.14,0.2,0.16,0.13,0.23,0.09,0.12,0.09,0.14,0.15,0.2,0.16,0.19,0.17,0.13,0.15,0.2,0.13,0.08,0.14,0.12,0.12,0.13
440,0.12,0.18,0.18,0.19,0.21,0.1,0.14,0.12,0.18,0.19,0.11,0.19,0.14,0.15,0.16,0.13,0.18,0.11,0.16,0.18,0.16,0.2,0.1,0.12,0.12,0.19,0.14,0.13,0.21,0.08,0.14,0.13,0.14,0.11,0.1,0.16,0.17,0.12,0.13,0.14,0.17,0.17,0.09,0.21,0.16,0.18,0.18,0.12,0.12,0.1,0.06,0.15,0.17,0.19,0.17,0.14,0.08,0.13,0.13,0.14,0.16,0.13,0.16,0.08,0.18,0.15,0.1,0.16,0.17,0.15,0.15,0.15,0.08,0.12,0.1,0.17,0.16,0.07,0.2,0.15,0.11,0.22,0.19,0.12,0.12,0.2,0.11,0.19,0.21,0.17,0.07,0.13,0.15,0.22,0.17,0.15,0.12,0.08,0.14,0.15
460,0.2,0.16,0.19,0.13,0.15,0.16,0.18,0.12,0.21,0.14,0.13,0.11,0.24,0.16,0.2,0.16,0.16,0.13,0.1,0.14,0.1,0.1,0.13,0.12,0.19,0.15,0.1,0.15,0.22,0.17,0.17,0.13,0.16,0.08,0.14,0.2,0.2,0.14,0.14,0.1,0.1,0.2,0.18,0.17,0.08,0.11,0.17,0.2,0.11,0.14,0.16,0.18,0.15,0.18,0.15,0.11,0.18,0.17,0.1,0.12,0.11,0.08,0.14,0.12,0.21,0.14,0.15,0.12,0.14,0.19,0.13,0.19,0.18,0.15,0.13,0.16,0.1,0.15,0.15,0.13,0.12,0.15,0.2,0.15,0.1,0.18,0.17,0.13,0.2,0.13,0.13,0.18,0.11,0.23,0.17,0.12,0.17,0.12,0.15,0.09
480,0.08,0.23,0.13,0.18,0.18,0.16,0.11,0.18,0.11,0.12,0.14,0.15,0.19,0.15,0.16,0.21,0.18,0.19,0.18,0.21,0.21,0.12,0.16,0.18,0.14,0.22,0.08,0.12,0.14,0.15,0.21,0.11,0.15,0.2,0.08,0.19,0.11,0.13,0.17,0.2,0.11,0.15,0.12,0.16,0.09,0.18,0.13,0.22,0.12,0.21,0.19,0.16,0.17,0.14,0.13,0.28,0.14,0.15,0.1,0.13,0.2,0.14,0.18,0.14,0.12,0.2,0.16,0.2,0.13,0.22,0.18,0.19,0.11,0.21,0.15,0.18,0.13,0.15,0.16,0.12,0.09,0.17,0.15,0.16,0.23,0.12,0.16,0.27,0.2,0.1,0.18,0.21,0.15,0.13,0.18,0.13,0.14,0.15,0.16,0.12
500,0.14,0.15,0.12,0.2,0.12,0.19,0.22,0.23,0.17,0.2,0.2,0.16,0.18,0.16,0.21,0.15,0.12,0.17,0.12,0.18,0.13,0.1,0.19,0.19,0.17,0.19,0.11,0.15,0.15,0.19,0.18,0.08,0.13,0.14,0.13,0.14,0.14,0.18,0.18,0.15,0.12,0.21,0.13,0.16,0.17,0.13,0.18,0.14,0.13,0.17,0.1,0.17,0.27,0.24,0.11,0.15,0.14,0.21,0.13,0.13,0.17,0.19,0.15,0.15,0.17,0.17,0.15,0.23,0.13,0.22,0.18,0.2,0.17,0.15,0.12,0.18,0.16,0.12,0.16,0.13,0.15,0.18,0.14,0.2,0.14,0.18,0.15,0.21,0.16,0.1,0.12,0.15,0.18,0.13,0.17,0.1,0.13,0.13,0.14,0.12
520,0.21,0.19,0.15,0.19,0.14,0.13,0.16,0.17,0.17,0.17,0.14,0.17,0.19,0.14,0.21,0.15,0.18,0.16,0.13,0.13,0.28,0.19,0.21,0.18,0.15,0.16,0.14,0.1,0.16,0.2,0.22,0.17,0.19,0.2,0.13,0.16,0.13,0.15,0.19,0.14,0.23,0.15,0.15,0.18,0.14,0.11,0.13,0.15,0.25,0.17,0.1,0.17,0.16,0.17,0.21,0.17,0.18,0.18,0.18,0.12,0.24,0.14,0.15,0.13,0.23,0.09,0.21,0.16,0.16,0.17,0.19,0.22,0.18,0.19,0.13,0.13,0.2,0.16,0.17,0.14,0.1,0.2,0.13,0.14,0.09,0.18,0.19,0.13,0.14,0.14,0.16,0.13,0.11,0.19,0.2,0.13,0.18,0.18,0.16,0.16
540,0.17,0.19,0.15,0.24,0.17,0.18,0.14,0.08,0.18,0.17,0.18,0.13,0.17,0.22,0.17,0.16,0.21,0.14,0.17,0.16,0.13,0.14,0.19,0.17,0.1,0.15,0.11,0.19,0.13,0.15,0.17,0.15,0.09,0.2,0.11,0.13,0.17,0.21,0.12,0.14,0.18,0.21,0.18,0.2,0.15,0.08,0.19,0.16,0.15,0.17,0.12,0.17,0.21,0.28,0.11,0.15,0.16,0.09,0.08,0.18,0.16,0.18,0.14,0.14,0.22,0.15,0.13,0.13,0.15,0.15,0.22,0.18,0.21,0.18,0.2,0.2,0.19,0.13,0.14,0.15,0.11,0.19,0.14,0.19,0.14,0.14,0.21,0.19,0.19,0.14,0.17,0.15,0.13,0.13,0.12,0.11,0.17,0.14,0.13,0.19
560,0.22,0.19,0.09,0.16,0.14,0.16,0.22,0.14,0.23,0.21,0.12,0.15,0.16,0.19,0.19,0.15,0.15,0.21,0.13,0.15,0.26,0.16,0.15,0.22,0.13,0.19,0.12,0.18,0.18,0.1,0.2,0.13,0.17,0.16,0.1,0.14,0.25,0.18,0.2,0.1,0.15,0.17,0.15,0.16,0.11,0.21,0.21,0.17,0.16,0.12,0.15,0.22,0.23,0.15,0.14,0.12,0.14,0.21,0.12,0.16,0.13,0.18,0.18,0.18,0.17,0.15,0.25,0.12,0.17,0.12,0.15,0.16,0.19,0.16,0.16,0.19,0.17,0.16,0.15,0.19,0.12,0.19,0.12,0.19,0.18,0.12,0.22,0.11,0.19,0.14,0.11,0.13,0.22,0.17,0.16,0.13,0.21,0.15,0.19,0.2
580,0.19,0.13,0.17,0.15,0.21,0.15,0.23,0.18,0.2,0.2,0.21,0.13,0.17,0.2,0.22,0.23,0.17,0.14,0.23,0.2,0.17,0.17,0.21,0.1,0.17,0.12,0.15,0.1,0.17,0.2,0.16,0.11,0.2,0.14,0.12,0.14,0.24,0.18,0.19,0.15,0.18,0.19,0.12,0.14,0.12,0.14,0.13,0.17,0.15,0.17,0.16,0.18,0.21,0.18,0.13,0.17,0.16,0.19,0.13,0.15,0.25,0.27,0.16,0.19,0.17,0.16,0.16,0.19,0.13,0.17,0.2,0.16,0.15,0.13,0.14,0.2,0.16,0.14,0.15,0.13,0.17,0.18,0.2,0.19,0.17,0.17,0.11,0.15,0.1,0.16,0.1,0.19,0.11,0.2,0.11,0.14,0.19,0.18,0.19,0.24
600,0.13,0.11,0.19,0.16,0.23,0.2,0.2,0.1,0.21,0.21,0.2,0.18,0.16,0.25,0.27,0.18,0.19,0.12,0.15,0.15,0.13,0.13,0.17,0.16,0.17,0.19,0.06,0.18,0.1,0.06,0.13,0.16,0.13,0.15,0.18,0.17,0.14,0.19,0.12,0.19,0.14,0.27,0.2,0.13,0.16,0.15,0.18,0.17,0.28,0.16,0.18,0.13,0.12,0.19,0.15,0.1,0.27,0.18,0.2,0.17,0.19,0.11,0.22,0.21,0.16,0.18,0.15,0.15,0.2,0.19,0.14,0.16,0.19,0.2,0.18,0.16,0.2,0.14,0.14,0.2,0.19,0.17,0.15,0.18,0.18,0.12,0.17,0.24,0.18,0.18,0.19,0.16,0.14,0.17,0.25,0.14,0.18,0.1,0.12,0.24
620,0.13,0.2,0.16,0.18,0.13,0.09,0.14,0.2,0.18,0.12,0.24,0.18,0.16,0.24,0.19,0.18,0.19,0.15,0.15,0.15,0.19,0.24,0.19,0.2,0.1,0.15,0.19,0.15,0.18,0.17,0.18,0.2,0.17,0.24,0.18,0.17,0.17,0.1,0.18,0.13,0.2,0.13,0.12,0.16,0.15,0.14,0.14,0.19,0.18,0.16,0.14,0.21,0.17,0.21,0.11,0.18,0.18,0.24,0.11,0.15,0.21,0.3,0.09,0.21,0.22,0.22,0.17,0.12,0.2,0.15,0.18,0.24,0.13,0.14,0.13,0.15,0.18,0.12,0.18,0.13,0.16,0.13,0.2,0.18,0.15,0.17,0.19,0.17,0.26,0.26,0.16,0.11,0.2,0.24,0.21,0.17,0.19,0.16,0.19,0.23
640,0.17,0.22,0.12,0.18,0.17,0.22,0.21,0.15,0.15,0.16,0.22,0.23,0.22,0.18,0.14,0.14,0.15,0.14,0.14,0.18,0.21,0.11,0.19,0.16,0.13,0.16,0.26,0.15,0.14,0.22,0.09,0.15,0.19,0.18,0.12,0.12,0.15,0.2,0.15,0.22,0.23,0.21,0.21,0.19,0.15,0.13,0.15,0.13,0.14,0.16,0.18,0.11,0.12,0.17,0.12,0.17,0.2,0.18,0.2,0.18,0.23,0.13,0.16,0.22,0.17,0.19,0.16,0.23,0.14,0.2,0.15,0.13,0.16,0.2,0.16,0.18,0.17,0.13,0.13,0.27,0.14,0.16,0.2,0.14,0.14,0.16,0.22,0.18,0.16,0.2,0.16,0.2,0.17,0.15,0.11,0.1,0.1,0.29,0.12,0.13
