tick,97,96,77,95,93,92,10,70,90,24,87,86,29,44,84,5,91,83,82,81,55,79,19,46,76,75,74,6,56,72,80,78,14,52,69,32,68,99,67,88,73,66,89,21,11,61,60,59,65,34,58,57,54,64,9,51,49,26,47,85,45,15,98,40,63,62,25,39,43,41,37,17,13,35,36,22,33,31,50,30,20,18,16,42,38,28,53,2,23,12,0,3,94,48,1,27,7,71,8,4
280,0.12,0.12,0.08,0.12,0.07,0.09,0.07,0.09,0.12,0.13,0.15,0.08,0.08,0.1,0.09,0.1,0.06,0.08,0.06,0.13,0.13,0.09,0.12,0.12,0.1,0.1,0.09,0.07,0.04,0.11,0.09,0.08,0.14,0.1,0.07,0.09,0.13,0.13,0.16,0.12,0.09,0.09,0.09,0.09,0.07,0.06,0.07,0.04,0.07,0.05,0.07,0.06,0.08,0.12,0.13,0.19,0.1,0.1,0.15,0.14,0.1,0.11,0.1,0.07,0.12,0.1,0.09,0.1,0.12,0.11,0.11,0.11,0.1,0.09,0.1,0.17,0.08,0.04,0.08,0.09,0.06,0.09,0.06,0.06,0.12,0.07,0.12,0.07,0.09,0.14,0.1,0.07,0.08,0.08,0.1,0.09,0.12,0.05,0.11,0.1
300,0.12,0.08,0.09,0.16,0.13,0.09,0.07,0.13,0.09,0.1,0.09,0.06,0.13,0.1,0.17,0.13,0.04,0.08,0.13,0.09,0.16,0.04,0.08,0.13,0.13,0.05,0.09,0.1,0.13,0.12,0.07,0.11,0.11,0.11,0.07,0.09,0.12,0.11,0.07,0.09,0.12,0.22,0.1,0.14,0.09,0.08,0.09,0.1,0.08,0.14,0.13,0.09,0.1,0.12,0.08,0.11,0.12,0.08,0.1,0.09,0.11,0.11,0.12,0.09,0.13,0.14,0.1,0.1,0.12,0.12,0.07,0.1,0.06,0.06,0.1,0.08,0.11,0.13,0.1,0.18,0.09,0.16,0.1,0.07,0.13,0.12,0.07,0.08,0.07,0.14,0.09,0.08,0.09,0.07,0.11,0.06,0.09,0.09,0.03,0.11
320,0.06,0.04,0.07,0.1,0.07,0.09,0.08,0.09,0.11,0.1,0.15,0.05,0.1,0.06,0.12,0.11,0.06,0.05,0.12,0.09,0.08,0.07,0.1,0.08,0.13,0.13,0.15,0.08,0.09,0.07,0.11,0.09,0.06,0.1,0.1,0.08,0.12,0.06,0.09,0.08,0.04,0.1,0.12,0.08,0.1,0.21,0.12,0.07,0.07,0.16,0.09,0.09,0.08,0.1,0.1,0.11,0.11,0.06,0.09,0.06,0.13,0.07,0.06,0.11,0.08,0.08,0.07,0.11,0.09,0.13,0.12,0.11,0.07,0.12,0.15,0.09,0.07,0.12,0.11,0.12,0.14,0.12,0.13,0.13,0.08,0.07,0.09,0.14,0.1,0.13,0.1,0.1,0.05,0.1,0.11,0.1,0.1,0.08,0.12,0.12
340,0.07,0.08,0.12,0.08,0.11,0.12,0.11,0.1,0.08,0.09,0.08,0.09,0.16,0.13,0.09,0.08,0.09,0.08,0.07,0.07,0.1,0.04,0.11,0.11,0.13,0.12,0.12,0.12,0.08,0.13,0.08,0.09,0.09,0.1,0.08,0.12,0.1,0.14,0.08,0.12,0.11,0.13,0.07,0.16,0.1,0.05,0.09,0.07,0.09,0.05,0.1,0.1,0.06,0.11,0.11,0.11,0.1,0.06,0.04,0.13,0.08,0.1,0.11,0.12,0.07,0.08,0.09,0.07,0.08,0.09,0.08,0.11,0.06,0.16,0.11,0.04,0.11,0.08,0.09,0.13,0.14,0.12,0.08,0.11,0.11,0.09,0.17,0.1,0.05,0.13,0.08,0.12,0.11,0.12,0.16,0.07,0.11,0.11,0.05,0.13
360,0.08,0.11,0.07,0.12,0.09,0.1,0.08,0.09,0.06,0.09,0.1,0.05,0.14,0.1,0.12,0.14,0.05,0.08,0.1,0.14,0.09,0.09,0.12,0.09,0.09,0.06,0.09,0.08,0.08,0.1,0.1,0.11,0.14,0.05,0.11,0.11,0.09,0.08,0.1,0.1,0.13,0.13,0.11,0.14,0.09,0.06,0.11,0.08,0.15,0.07,0.1,0.09,0.1,0.13,0.07,0.09,0.13,0.1,0.06,0.14,0.09,0.1,0.09,0.11,0.11,0.09,0.12,0.08,0.19,0.13,0.08,0.1,0.03,0.16,0.09,0.08,0.19,0.09,0.1,0.06,0.09,0.08,0.07,0.1,0.14,0.09,0.06,0.09,0.17,0.06,0.09,0.12,0.08,0.08,0.11,0.1,0.18,0.06,0.09,0.08
380,0.1,0.1,0.14,0.1,0.11,0.14,0.12,0.17,0.09,0.05,0.06,0.13,0.13,0.11,0.09,0.12,0.14,0.12,0.07,0.12,0.12,0.05,0.12,0.14,0.09,0.16,0.07,0.12,0.11,0.09,0.08,0.14,0.08,0.04,0.1,0.16,0.09,0.11,0.07,0.1,0.05,0.11,0.08,0.11,0.1,0.07,0.14,0.13,0.05,0.15,0.14,0.15,0.07,0.11,0.13,0.06,0.09,0.07,0.13,0.06,0.12,0.08,0.06,0.12,0.09,0.13,0.04,0.12,0.13,0.09,0.16,0.08,0.1,0.2,0.16,0.14,0.1,0.14,0.15,0.14,0.11,0.09,0.12,0.06,0.11,0.09,0.18,0.19,0.1,0.1,0.08,0.03,0.11,0.11,0.13,0.16,0.12,0.05,0.09,0.12
400,0.08,0.06,0.12,0.11,0.15,0.09,0.07,0.14,0.08,0.06,0.15,0.1,0.08,0.12,0.07,0.09,0.11,0.1,0.06,0.09,0.1,0.05,0.1,0.06,0.08,0.13,0.07,0.13,0.14,0.06,0.04,0.07,0.06,0.1,0.07,0.12,0.08,0.11,0.16,0.08,0.09,0.13,0.07,0.12,0.09,0.06,0.07,0.1,0.13,0.09,0.13,0.14,0.06,0.11,0.07,0.08,0.11,0.07,0.1,0.1,0.11,0.14,0.11,0.14,0.12,0.17,0.1,0.15,0.11,0.12,0.11,0.15,0.11,0.09,0.07,0.09,0.09,0.1,0.11,0.05,0.11,0.12,0.14,0.08,0.06,0.08,0.13,0.07,0.18,0.08,0.08,0.1,0.11,0.08,0.11,0.15,0.12,0.09,0.14,0.06
420,0.1,0.1,0.07,0.1,0.1,0.18,0.11,0.05,0.08,0.12,0.07,0.07,0.1,0.11,0.07,0.06,0.1,0.15,0.08,0.1,0.06,0.12,0.11,0.09,0.08,0.06,0.11,0.1,0.16,0.06,0.11,0.12,0.1,0.11,0.13,0.16,0.09,0.13,0.09,0.07,0.13,0.12,0.13,0.1,0.12,0.13,0.1,0.13,0.05,0.1,0.08,0.11,0.08,0.1,0.1,0.07,0.11,0.06,0.14,0.09,0.06,0.13,0.09,0.07,0.15,0.14,0.08,0.11,0.14,0.11,0.09,0.12,0.1,0.08,0.11,0.09,0.1,0.06,0.12,0.1,0.06,0.08,0.07,0.13,0.14,0.12,0.07,0.08,0.11,0.08,0.14,0.07,0.08,0.08,0.1,0.09,0.12,0.11,0.07,0.11
440,0.12,0.05,0.11,0.08,0.13,0.09,0.16,0.11,0.12,0.07,0.1,0.13,0.09,0.12,0.12,0.04,0.08,0.05,0.07,0.16,0.11,0.09,0.05,0.11,0.11,0.15,0.13,0.09,0.15,0.05,0.16,0.11,0.1,0.09,0.16,0.05,0.09,0.14,0.11,0.18,0.03,0.09,0.08,0.14,0.13,0.1,0.08,0.14,0.14,0.08,0.16,0.07,0.06,0.11,0.11,0.12,0.09,0.09,0.09,0.06,0.11,0.06,0.14,0.06,0.13,0.1,0.15,0.1,0.1,0.13,0.11,0.09,0.09,0.15,0.15,0.15,0.15,0.16,0.12,0.14,0.11,0.12,0.08,0.11,0.11,0.07,0.14,0.11,0.15,0.09,0.15,0.1,0.08,0.09,0.08,0.12,0.08,0.12,0.11,0.1
460,0.07,0.1,0.11,0.09,0.1,0.05,0.14,0.07,0.13,0.11,0.12,0.11,0.1,0.08,0.12,0.13,0.09,0.16,0.1,0.07,0.09,0.1,0.06,0.07,0.07,0.09,0.07,0.08,0.09,0.08,0.12,0.12,0.05,0.14,0.11,0.12,0.13,0.03,0.1,0.13,0.13,0.11,0.05,0.11,0.07,0.04,0.09,0.14,0.1,0.1,0.12,0.08,0.09,0.12,0.09,0.14,0.06,0.07,0.1,0.17,0.07,0.09,0.12,0.1,0.12,0.12,0.08,0.09,0.08,0.09,0.08,0.09,0.08,0.1,0.07,0.12,0.12,0.04,0.16,0.08,0.12,0.11,0.12,0.06,0.09,0.08,0.17,0.1,0.12,0.14,0.11,0.09,0.05,0.09,0.16,0.07,0.1,0.06,0.09,0.1
480,0.07,0.16,0.11,0.08,0.09,0.08,0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.06,0.1,0.1,0.13,0.14,0.1,0.1,0.06,0.08,0.13,0.09,0.1,0.08,0.14,0.13,0.09,0.11,0.09,0.1,0.21,0.17,0.1,0.07,0.13,0.15,0.12,0.16,0.09,0.1,0.12,0.1,0.12,0.09,0.06,0.16,0.08,0.16,0.14,0.19,0.08,0.08,0.11,0.15,0.11,0.08,0.11,0.06,0.15,0.19,0.09,0.1,0.17,0.08,0.07,0.06,0.06,0.08,0.13,0.12,0.08,0.14,0.1,0.13,0.07,0.11,0.13,0.13,0.12,0.09,0.08,0.09,0.14,0.1,0.11,0.14,0.12,0.1,0.13,0.13,0.1,0.16,0.11,0.04,0.12,0.11,0.1,0.06
500,0.1,0.13,0.15,0.1,0.2,0.1,0.08,0.12,0.11,0.09,0.11,0.09,0.14,0.13,0.13,0.16,0.09,0.12,0.08,0.05,0.08,0.11,0.07,0.15,0.09,0.09,0.07,0.11,0.08,0.09,0.09,0.1,0.14,0.1,0.11,0.09,0.13,0.05,0.12,0.09,0.07,0.1,0.18,0.08,0.11,0.08,0.1,0.1,0.06,0.07,0.08,0.09,0.1,0.09,0.12,0.13,0.12,0.1,0.11,0.12,0.14,0.09,0.11,0.15,0.1,0.08,0.11,0.09,0.15,0.07,0.07,0.09,0.11,0.11,0.08,0.13,0.13,0.13,0.13,0.04,0.16,0.08,0.16,0.14,0.06,0.09,0.13,0.08,0.11,0.06,0.07,0.09,0.08,0.11,0.07,0.09,0.14,0.13,0.05,0.08
520,0.08,0.11,0.09,0.1,0.09,0.15,0.13,0.11,0.11,0.12,0.1,0.17,0.14,0.11,0.13,0.05,0.13,0.17,0.1,0.19,0.17,0.15,0.12,0.08,0.08,0.13,0.09,0.13,0.09,0.13,0.1,0.13,0.05,0.08,0.14,0.14,0.08,0.06,0.15,0.1,0.08,0.06,0.12,0.12,0.07,0.14,0.09,0.09,0.08,0.1,0.09,0.09,0.13,0.09,0.11,0.08,0.05,0.11,0.07,0.12,0.08,0.14,0.09,0.09,0.14,0.13,0.08,0.1,0.18,0.08,0.11,0.07,0.11,0.08,0.08,0.13,0.07,0.17,0.1,0.12,0.09,0.1,0.14,0.08,0.11,0.11,0.13,0.12,0.06,0.08,0.06,0.13,0.06,0.14,0.14,0.11,0.08,0.06,0.14,0.13
540,0.05,0.06,0.09,0.15,0.08,0.1,0.15,0.17,0.14,0.12,0.12,0.12,0.1,0.09,0.11,0.15,0.11,0.17,0.11,0.07,0.13,0.08,0.1,0.1,0.06,0.11,0.11,0.04,0.13,0.08,0.09,0.06,0.12,0.11,0.08,0.1,0.1,0.11,0.13,0.06,0.08,0.08,0.04,0.13,0.12,0.11,0.14,0.1,0.13,0.15,0.15,0.17,0.11,0.12,0.11,0.07,0.13,0.12,0.09,0.09,0.13,0.16,0.09,0.05,0.07,0.11,0.07,0.19,0.11,0.08,0.09,0.13,0.03,0.12,0.1,0.12,0.11,0.08,0.11,0.14,0.1,0.12,0.18,0.09,0.12,0.1,0.14,0.15,0.09,0.13,0.08,0.09,0.08,0.16,0.13,0.1,0.16,0.14,0.19,0.17
560,0.03,0.07,0.07,0.11,0.11,0.08,0.13,0.14,0.07,0.12,0.15,0.1,0.08,0.08,0.12,0.08,0.14,0.13,0.12,0.09,0.14,0.08,0.11,0.07,0.07,0.08,0.1,0.12,0.1,0.14,0.05,0.11,0.05,0.16,0.14,0.08,0.15,0.12,0.13,0.07,0.13,0.11,0.14,0.11,0.12,0.06,0.09,0.05,0.09,0.09,0.09,0.12,0.09,0.11,0.08,0.11,0.09,0.09,0.12,0.14,0.13,0.13,0.09,0.13,0.14,0.08,0.13,0.1,0.17,0.1,0.07,0.1,0.12,0.07,0.11,0.11,0.02,0.15,0.13,0.08,0.14,0.12,0.11,0.08,0.08,0.06,0.11,0.06,0.09,0.1,0.13,0.11,0.13,0.09,0.09,0.04,0.1,0.17,0.13,0.1
580,0.09,0.14,0.14,0.1,0.11,0.11,0.08,0.17,0.13,0.09,0.14,0.13,0.08,0.13,0.14,0.1,0.14,0.12,0.1,0.09,0.07,0.12,0.12,0.14,0.15,0.12,0.09,0.16,0.22,0.14,0.07,0.12,0.06,0.08,0.12,0.1,0.08,0.11,0.11,0.12,0.12,0.04,0.09,0.09,0.15,0.1,0.17,0.12,0.14,0.09,0.1,0.1,0.1,0.09,0.12,0.08,0.12,0.07,0.12,0.08,0.08,0.07,0.07,0.07,0.16,0.12,0.16,0.1,0.06,0.11,0.13,0.1,0.09,0.09,0.16,0.18,0.1,0.13,0.12,0.14,0.07,0.1,0.1,0.11,0.16,0.07,0.11,0.13,0.09,0.12,0.05,0.15,0.07,0.11,0.04,0.09,0.04,0.09,0.16,0.12
600,0.07,0.13,0.15,0.1,0.09,0.12,0.09,0.1,0.07,0.09,0.13,0.13,0.13,0.14,0.11,0.1,0.08,0.07,0.08,0.14,0.12,0.13,0.1,0.06,0.07,0.14,0.12,0.1,0.09,0.08,0.14,0.15,0.11,0.11,0.11,0.1,0.13,0.15,0.05,0.15,0.06,0.04,0.1,0.1,0.08,0.08,0.11,0.13,0.1,0.05,0.12,0.1,0.14,0.12,0.1,0.1,0.15,0.11,0.15,0.07,0.11,0.08,0.12,0.12,0.08,0.17,0.12,0.13,0.13,0.17,0.1,0.14,0.13,0.11,0.07,0.09,0.12,0.09,0.12,0.1,0.07,0.09,0.12,0.14,0.11,0.12,0.14,0.14,0.12,0.08,0.09,0.09,0.07,0.12,0.06,0.16,0.12,0.09,0.18,0.1
620,0.07,0.09,0.1,0.11,0.2,0.13,0.09,0.09,0.11,0.13,0.12,0.09,0.09,0.16,0.12,0.12,0.09,0.11,0.08,0.11,0.15,0.11,0.09,0.09,0.09,0.13,0.12,0.14,0.11,0.11,0.15,0.08,0.09,0.15,0.08,0.1,0.14,0.1,0.1,0.12,0.15,0.11,0.17,0.1,0.12,0.11,0.1,0.11,0.12,0.09,0.12,0.12,0.12,0.16,0.12,0.13,0.1,0.07,0.09,0.14,0.11,0.14,0.09,0.11,0.12,0.15,0.11,0.09,0.11,0.14,0.1,0.12,0.09,0.08,0.08,0.08,0.15,0.13,0.09,0.12,0.09,0.06,0.13,0.11,0.15,0.16,0.08,0.12,0.07,0.07,0.17,0.13,0.06,0.08,0.15,0.11,0.07,0.16,0.12,0.09
640,0.1,0.14,0.04,0.14,0.09,0.14,0.14,0.14,0.07,0.16,0.1,0.19,0.17,0.1,0.09,0.12,0.08,0.09,0.16,0.14,0.12,0.16,0.1,0.09,0.12,0.12,0.06,0.14,0.15,0.14,0.13,0.1,0.1,0.11,0.13,0.15,0.13,0.07,0.08,0.16,0.12,0.15,0.1,0.12,0.11,0.07,0.17,0.07,0.07,0.13,0.07,0.11,0.1,0.06,0.06,0.13,0.16,0.14,0.08,0.07,0.06,0.07,0.13,0.09,0.12,0.11,0.11,0.12,0.11,0.1,0.1,0.14,0.12,0.06,0.06,0.1,0.08,0.07,0.1,0.09,0.09,0.09,0.09,0.04,0.12,0.08,0.11,0.2,0.1,0.12,0.1,0.12,0.12,0.12,0.1,0.08,0.12,0.13,0.08,0.13
